# Blocks-6.0.0.txt
# Date: 2010-06-04, 11:12:00 PDT [KW]
#
# Unicode Character Database
# Copyright (c) 1991-2010 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
# For documentation, see http://www.unicode.org/reports/tr44/
#
# Note:   The casing of block names is not normative.
#         For example, "Basic Latin" and "BASIC LATIN" are equivalent.
#
# Format:
# Start Code..End Code; Block Name

# ================================================

# Note:   When comparing block names, casing, whitespace, hyphens,
#         and underbars are ignored.
#         For example, "Latin Extended-A" and "latin extended a" are equivalent.
#         For more information on the comparison of property values, 
#            see UAX #44: http://www.unicode.org/reports/tr44/
#
#  All code points not explicitly listed for Block
#  have the value No_Block.

# Property: Block
#
# @missing: 0000..10FFFF; No_Block
3100..312F; 注音字母 (Bopomofo)
3130..318F; 朝鲜文兼容字母 (Hangul Compatibility Jamo)
3190..319F; 象形字注释标志 (Kanbun)
31A0..31BF; 注音字母扩展 (Bopomofo Extended)
31C0..31EF; 中日韩笔画 (CJK Strokes)
31F0..31FF; 日文片假名语音扩展 (Katakana Phonetic Extensions)
3200..32FF; 带圈中日韩字母和月份 (Enclosed CJK Letters and Months)
3300..33FF; 中日韩兼容 (CJK Compatibility)
3400..4DBF; 中日韩统一表意文字扩展A (CJK Unified Ideographs Extension A)
4DC0..4DFF; 易经六十四卦符号 (Yijing Hexagrams Symbols)
4E00..9FFF; 中日韩统一表意文字 (CJK Unified Ideographs)
A000..A48F; 彝文音节 (Yi Syllables)
A490..A4CF; 彝文字根 (Yi Radicals)
A4D0..A4FF; 老傈僳文 (Lisu)
A500..A63F; 瓦伊语 (Vai)
A640..A69F; 西里尔字母扩展-B (Cyrillic Extended-B)
A6A0..A6FF; 巴姆穆语 (Bamum)
A700..A71F; 声调修饰字母 (Modifier Tone Letters)
A720..A7FF; 拉丁文扩展-D (Latin Extended-D)
A800..A82F; 锡尔赫特文 (Syloti Nagri)
A830..A83F; 常用印度表数形式 (Ind. No.)
A840..A87F; 八思巴字 (Phags-pa)
A880..A8DF; 索拉什特拉 (Saurashtra)
A8E0..A8FF; 天城体梵文扩充 (Deva. Ext.)
A900..A92F; 克耶字母 (Kayah Li)
A930..A95F; 勒姜语 (Rejang)
A980..A9DF; 爪哇语 (Javanese)
A9E0..A9FF; 待定
AA00..AA5F; 鞑靼文 (Cham)
AA60..AA7F; 缅甸语扩展 (Myanmar ExtA)
AA80..AADF; 越南傣文 (Tai Viet)
AAE0..AAFF; 曼尼普尔文扩展 (Meetei Ext)
AB00..AB2F; 埃塞俄比亚文 (Ethiopic Ext-A)
AB30..ABBF; 待定 
ABC0..ABFF; 曼尼普尔文扩展 (Meetei Mayek)
AC00..D7AF; 朝鲜文音节 (Hangul Syllables)
D7B0..D7FF; 朝鲜文字母扩展-B (Hangul Jamo Extended-B)
D800..DBFF; High-half zone of UTF-16
DC00..DFFF; Low-half zone of UTF-16
E000..F8FF; 自行使用区域 (Private Use Zone)
F900..FAFF; 中日韩兼容表意文字 (CJK Compatibility Ideographs)
FB00..FB4F; 字母表达形式 (Alphabetic Presentation Forms)
FB50..FDFF; 阿拉伯文表达形式A (Arabic Presentation Forms A)
FE00..FE0F; 异体字选择符 (Variation Selector)
FE10..FE1F; 竖排形式 (Vertical Forms)
FE20..FE2F; 组合用半符号 (Combining Half Marks)
FE30..FE4F; 中日韩兼容形式 (CJK Compatibility Forms)
FE50..FE6F; 小写变体形式 (Small Form Variants)
FE70..FEFF; 阿拉伯文表达形式B (Arabic Presentation Forms B)
FF00..FFEF; 半角及全角 (Halfwidth and Fullwidth Forms)
FFF0..FFFF; 特殊 (Specials)
10000..1007F; 线形文字B音节文字 (Linear B Syllabary)
10080..100FF; 线形文字B表意文字 (Linear B Ideograms)
10100..1013F; 爱琴数字 (Aegean Numbers)
10140..1018F; 古希腊数字 (Ancient Greek Numbers)
10190..101CF; 古代符号 (Ancient Symbols)
101D0..101FF; 费斯托圆盘(Phaistos Disc)
10280..1029F; 利西亚文 (Lycian)
102A0..102DF; 卡里亚字母 (Carian)
10300..1032F; 古意大利文 (OldItalic)
10330..1034F; 哥特文 (Gothic)
10380..1039F; 乌加里特楔形文字 (Ugaritic)
103A0..103DF; 古波斯文 (Old Persian)
10400..1044F; 犹他大学音标 (Deseret)
10450..1047F; 肃伯纳字母 (Shavian)
10480..104AF; 奥斯曼亚字母 (Osmanya?)
10800..1083F; 塞浦路斯音节文字 (Cypriot Syllabary)
10840..1085F; 皇室阿拉姆文(Imperial Aramaic)
10900..1091F; 腓尼基字母 (Phoenician)
10920..1093F; 吕底亚字母 (Lydian)
10A00..10A5F; 佉卢字母 (Kharoshthi)
10A60..10A7F; 古南阿拉伯文 (Old South Arabian)
10B00..10B3F; 阿维斯陀文 (Avestan)
10B40..10B5F; 帕提亚文碑铭体 (Inscriptional Parthian)
10B60..10B7F; 巴列维文碑铭体 (Inscriptional Pahlavi)
10C00..10C4F; 古突厥文 (Old Turkic)
10E60..10E7F; 鲁米数学记号 (Rumi Numeral Symbols)
11000..1107F; 婆罗米文 (Brahmi)
11080..110CF; 凯提文 (Kaithi)
12000..123FF; 楔形文字 (Cuneiform)
12400..1247F; 楔形文字数字及标点 (Cuneiform Numbersand Punctuation)
13000..1342F; 古埃及象形文字 (Egyptian Hieroglyphs)
16800..16A3F; 巴姆穆文补充 (Bamum Supplement)
1B000..1B0FF; 假名补充 (Kana Supplement)
1D000..1D0FF; 东正教音乐符号 (Byzantine Musical Symbols)
1D100..1D1FF; 音乐符号 (Musical Symbols)
1D200..1D24F; 古希腊音乐谱记号 (Ancient Greek Musical Notation)
1D300..1D35F; 太玄经符号 (Tai Xuan Jing Symbols)
1D360..1D37F; 算筹记数式 (Counting Rod Numerals)
1D400..1D7FF; 数学用字母数字符号 (Mathematical Alphanumeric Symbols)
1F000..1F02F; 麻将牌面 (Mahjong Tiles)
1F030..1F09F; 多米诺骨牌牌面(Domino Tiles)
1F0A0..1F0FF; 扑克牌牌面 (Playing Cards)
1F100..1F1FF; 括圈字母数字补充 (Enclosed Alphanumeric Supplement)
1F200..1F2FF; 括圈表意文字补充 (Enclosed Ideographic Supplement)
1F300..1F5FF; 混合什锦符号和象形文字 (Miscellaneous Symbols And Pictographs)
1F600..1F64F; 表情符号 (Emoticons)
1F680..1F6FF; 交通运输和地图符号 (Transport And Map Symbols)
1F700..1F77F; 炼金术符号 (Alchemical Symbols)
20000..2A6DF; 中日韩统一表意文字扩展B区 (CJK Unified Ideographs Extension B)
2A700..2B73F; 中日韩统一表意文字扩展C区 (CJK Unified Ideographs Extension C)
2B740..2B81F; 中日韩统一表意文字扩展D区 (CJK Unified Ideographs Extension D)
2F800..2FA1F; 中日韩兼容表意文字补充 (CJK Compatibility Ideographs Supplement)
E0000..E007F; 语言编码卷标 (Tags)
E0100..E01EF; 字型变换选取器补充 (Variation Selectors Supplement)
FFF80..FFFFF; 补充专用区-A (Supplementary PrivateUse Area-A)
10FF80..10FFFF; 补充专用区-B (Supplementary PrivateUse Area-B)

# EOF
